PID,Brand,Model No,Inhouse model no.,Shape,Alpha Size,Size,Plating Color,Paint Color,Lens Type,Lens Code,Lens tint color,Tips Shape,Tips color,Tip Code,TR Part Code,A Width (mm),B Height (mm),DBL (mm),Temple Length (mm)
242949,VC Sun,VC S19330,BWF2607,Cateye/ Women,132,N,Gold,,PC,SC2602,Grad Smoke,VC E13786,Transparent,,-,55.2,39.9,15.3,147
242950,VC Sun,VC S19331,BWF2606,Rectangle,143,W,Gold,,PC,PC- VC390,Grad Purple,VC E13786,Transparent,,-,57.2,38.3,16.3,145
242951,VC Sun,VC S19331,BWF2606,Rectangle,143,W,Gold,,PC,PC- G1401,Green,VC E13786,Transparent,,-,57.2,38.3,16.3,145
242952,VC Sun,VC S19332,BWF2609,Geometric,139,M,Gold,,PC,PC- B9123,Grad blue,VC E14319,Light grey,,-,56,38.6,15.7,145
242953,VC Sun,VC S19332,BWF2609,Geometric,139,M,Gold,,PC,PC- S1011,Smoke,VC E14319,Light grey,,-,56,38.6,15.7,145
242954,VC Sun,VC S19333,BWF2601,Oval,139,M,Gold,,PC,PC- RC1401,Grad Rose pink,VC E14319,Light grey,,-,59,36.8,15.5,147
242955,VC Sun,VC S19333,BWF2601,Oval,139,M,Gold,,PC,PC- B81,Grad Rose pink,VC E14319,Light grey,,-,59,36.8,15.5,147
242956,VC Sun,VC S19334,BWF2610,Geometric,138,M,Gold,,PC,PC- SG14,Grad Brown,VC E14353,Dark grey,,-,55.9,38.7,15.7,145
242957,VC Sun,VC S19334,BWF2610,Geometric,138,M,Gold,,PC,PC- B9123,Grad Brown,VC E14353,Dark grey,,-,55.9,38.7,15.7,145
246441,VC Sun,VC S19000,VC S19000,Aviator,144,W,Gold,,Sunglass,G16,FOREST,TT1(75),Black Opaque,,-,60,53,14,150
246442,VC Sun,VC S19000,VC S19000,Aviator,144,W,Gold,,Sunglass,S15,Smoke,TT1(75),Vision VABC125,,-,60,53,14,150
247061,VC Sun,VC S19015,VC S19015,Geometric,140,M,Light gun metal with EPL,,Sunglass,BC1503,Rose fade DULL,original,Jinliang FRP175,,-,50.4,41.9,19.6,145
247062,VC Sun,VC S19015,VC S19015,Geometric,140,M,Matt black,,Sunglass,G16,FOREST,original,Jinliang F1797,,-,50.4,41.9,19.6,145
247063,VC Sun,VC S19015,VC S19015,Geometric,140,M,Silver with EPL,,Sunglass,R- VSG15,Purple Fade,original,Jinliang F1H00120,,-,50.4,41.9,19.6,145
247064,VC Sun,VC S19022,VC S19022,Rectangle,137,M,Gold,,Sunglass,QS1602,Pinkish Brown,TT3(70),Jinliang FRP175,,-,54.5,35.9,16.6,145
247065,VC Sun,VC S19022,VC S19022,Rectangle,137,M,Dark gun metal with epl,,Sunglass,BBS13,OLIVE,TT3(70),Vision VABC125,,-,54.5,35.9,16.6,145
247066,VC Sun,VC S19025,VC S19025,Round,139,M,Black Chrome,Matt Black,Sunglass,RBG11,Mocha fade,TT2(70),Jinliang F1251,,-,53.6,48.5,21.5,145
247067,VC Sun,VC S19025,VC S19025,Round,139,M,Gold,,Sunglass,GG23,Green fade,TT2(70),Jinliang F1251,,-,53.6,48.5,21.5,145
247068,VC Sun,VC S19009,VC S19009,Browbar,143,W,Silver with EPL,,Sunglass,R- VSG15,Purple Fade,TT1(80),Jinliang F1797,,-,59.9,48.6,13.7,150
247069,VC Sun,VC S19009,VC S19009,Browbar,143,W,Gold,,Sunglass,GG23,Green fade,TT1(80),Vision VABC125,,-,59.9,48.6,13.7,150
247070,VC Sun,VC S19013,VC S19013,Geometric,138,M,Japnese Gold with EPL,,Sunglass,SG146,Smoke fade,TT4(70),Jinliang F1797,,-,52.9,41.1,20.3,145
247071,VC Sun,VC S19013,VC S19013,Geometric,138,M,Light gun metal with EPL,,Sunglass,SB15,Blue Smoke,TT4(70),Jinliang F1H00120,,-,52.9,41.1,20.3,145
247072,VC Sun,VC S19018,VC S19018,Oval,140,M,Gold,,Sunglass,GG23,Green fade,TT2(70),Jinliang F1251,,-,55.1,41.6,18,145
247073,VC Sun,VC S19018,VC S19018,Oval,140,M,Dark gun metal with epl,,Sunglass,RUSG14,Blue Smoke,TT2(70),Jinliang F1H00120,,-,55.1,41.6,18,145
247074,VC Sun,VC S19020,VC S19020,Rectangle,137,M,Black Chrome,Matt Black,Sunglass,SG146,Smoke fade,TT2(75),Jinliang F1H00120,,-,54.1,37.6,17.5,145
247075,VC Sun,VC S19020,VC S19020,Rectangle,137,M,Light gun metal with EPL,,Sunglass,RBG11,Mocha fade,TT2(75),Jinliang F1251,,-,54.1,37.6,17.5,145
247076,VC Sun,VC S19011,VC S19011,Cateye/ Women,142,W,Dark gun metal with epl,,Sunglass,GG23,Green fade,TT4(75),Jinliang F1797,,-,54.2,45.3,20.7,150
247077,VC Sun,VC S19011,VC S19011,Cateye/ Women,142,W,Japnese Gold with EPL,,Sunglass,C14,Coffee,TT4(75),Jinliang F1251,,-,54.2,45.3,20.7,150
247078,VC Sun,VC S19021,VC S19021,Rectangle,139,M,Black Chrome,Matt Black,Sunglass,BBS13,OLIVE,TT4(70),Jinliang F1797,,-,55.4,34.4,16.7,145
247079,VC Sun,VC S19021,VC S19021,Rectangle,139,M,Gold,,Sunglass,QS1602,Pinkish Brown,TT4(70),Jinliang F1251,,-,55.4,34.4,16.7,145
