PID,Brand,Model No,Inhouse model no.,Shape,Alpha Size,Size,Plating Color,Paint Color,Lens Type,Lens Code,Lens tint color,Tips Shape,Tips color,Tip Code,TR Part Code,A Width (mm),B Height (mm),DBL (mm),Temple Length (mm)
241071,VC Sun,VC S19002,VC S19002,Browbar,139,M,Japnese Gold with EPL,,Sunglass,PAB1310,COFFEE BROWN,TT1(75),Jinliang FRP175,,-,59.2,46.8,10.8,145
241072,VC Sun,VC S19002,VC S19002,Browbar,139,M,Gold,,Sunglass,BBS13,OLIVE,TT1(75),Jinliang FRP175,,-,59.2,46.8,10.8,145
241074,VC Sun,VC S19003,VC S19003,Browbar,141,W,Black Chrome,Shiny Black,Sunglass,BBS13,OLIVE,TT3(70),Vision VABC125,,-,58,42.4,15.6,145
241075,VC Sun,VC S19003,VC S19003,Browbar,141,W,Dark gun metal with epl,,Sunglass,S09,Charcoal,TT3(70),Jinliang F1797,,-,58,42.4,15.6,145
241076,VC Sun,VC S19004,VC S19004,Browbar,140,M,Gold,,Sunglass,BBS13,OLIVE,TT1(75),Jinliang FRP175,,-,56.6,48.7,16,145
241077,VC Sun,VC S19004,VC S19004,Browbar,140,M,Black Chrome,Shiny Black,Sunglass,RBG10,Brown Grad,TT1(75),Jinliang F1797,,-,56.6,48.7,16,145
241078,VC Sun,VC S19005,VC S19005,Browbar,143,W,Black Chrome,Matt Black,Sunglass,SB15,AQUA,TT1(75),Jinliang F1680,,-,59.4,52.1,15.3,150
241079,VC Sun,VC S19005,VC S19005,Browbar,143,W,Silver with EPL,,Sunglass,S15,Smoke,TT1(75),Jinliang F1797,,-,59.4,52.1,15.3,150
241080,VC Sun,VC S19005,VC S19005,Browbar,143,W,Japnese Gold with EPL,,Sunglass,G15,#N/A,TT1(75),Jinliang FRP175,,-,59.4,52.1,15.3,150
241081,VC Sun,VC S19006,VC S19006,Browbar,144,W,Black Chrome,Matt Black,Sunglass,C14,Coffee,TT1(80),Black Opaque,,-,59.5,53.5,16,150
241082,VC Sun,VC S19006,VC S19006,Browbar,144,W,Silver with EPL,,Sunglass,G16,FOREST,TT1(80),Jinliang FRP175,,-,59.5,53.5,16,150
241083,VC Sun,VC S19007,VC S19007,Browbar,143,W,Dark gun metal with epl,,Sunglass,G16,FOREST,TT1(75),Jinliang FRP175,,-,59.8,50,15.2,150
241084,VC Sun,VC S19007,VC S19007,Browbar,143,W,Black Chrome,Matt Black,Sunglass,S15,Smoke,TT1(75),Jinliang F1797,,-,59.8,50,15.2,150
241085,VC Sun,VC S19007,VC S19007,Browbar,143,W,Silver with EPL,,Sunglass,RUSG14,BLUE SMOKE,TT1(75),Jinliang F1H00120,,-,59.8,50,15.2,150
241086,VC Sun,VC S19008,VC S19008,Browbar,141,W,Dark gun metal with epl,,Sunglass,G16,FOREST,TT1(75),Jinliang FRP175,,-,58,48,13.5,150
241087,VC Sun,VC S19008,VC S19008,Browbar,141,W,Gold,,Sunglass,SG146,Smoke Gradient,TT1(75),Jinliang F1H00120,,-,58,48,13.5,150
241088,VC Sun,VC S19008,VC S19008,Browbar,141,W,Gold,,Sunglass,RBG10,Brown Grad,TT1(75),Jinliang FRP175,,-,58,48,13.5,150
241089,VC Sun,VC S19009,VC S19009,Browbar,143,W,Dark gun metal with epl,,Sunglass,RUSG14,BLUE SMOKE,TT1(80),Jinliang F1680,,-,59.9,48.6,13.7,150
241090,VC Sun,VC S19009,VC S19009,Browbar,143,W,Black Chrome,Matt Black,Sunglass,BBS13,OLIVE,TT1(80),Vision VABC125,,-,59.9,48.6,13.7,150
241091,VC Sun,VC S19010,VC S19010,Cateye/ Women,135,N,Gold,,Sunglass,BC1503,ROSE FADE DULL,TT2(70),Jinliang F1251,,-,53.6,43.2,18.4,145
